"Year","LGA","Contamination_rate"
"2007","Cardinia",11.35
"2007","Casey",8.3
"2007","Central Goldfields",5.91
"2007","Colac Otway",9.01
"2007","Corangamite",1.13
"2007","Darebin",12.35
"2007","East Gippsland",19.99
"2007","Frankston",15.04
"2007","Gannawarra",13.05
"2007","Glen Eira",3.5
"2007","Glenelg",28.35
"2007","Golden Plains",4
"2007","Greater Bendigo",9.12
"2007","Greater Dandenong",12.13
"2007","Greater Geelong",8
"2007","Greater Shepparton",11.6
"2007","Hepburn",9.32
"2007","Hindmarsh",19.13
"2007","Hobsons Bay",3.1
"2007","Horsham",18.38
"2007","Hume",16.45
"2007","Indigo",12.97
"2007","Kingston",3.5
"2007","Knox",5.1
"2007","Latrobe",18.91
"2007","Loddon",0
"2007","Macedon Ranges",10
"2007","Manningham",9.9
"2007","Mansfield",11.61
"2007","Maribyrnong",21.2
"2007","Maroondah",5
"2007","Melbourne",7.1
"2007","Melton",9.86
"2007","Mildura",27.63
"2007","Mitchell",10.86
"2007","Moira",10.5
"2007","Monash",2.04
"2007","Moonee Valley",3.04
"2007","Moorabool",5
"2007","Moreland",19.01
"2007","Mornington Peninsula",12
"2007","Mount Alexander",5
"2007","Moyne",10
"2007","Murrindindi",5.99
"2007","Nillumbik",7.98
"2007","Northern Grampians",10.01
"2007","Port Phillip",22.2
"2007","Pyrenees",0.84
"2007","Queenscliffe",1.86
"2007","South Gippsland",8
"2007","Southern Grampians",4
"2007","Stonnington",3.49
"2007","Strathbogie",12.44
"2007","Surf Coast",8.97
"2007","Swan Hill",13.86
"2007","Towong",24.29
"2007","Wangaratta",9.38
"2007","Warrnambool",10.9
"2007","Wellington",18.21
"2007","West Wimmera",1.91
"2007","Whitehorse",2.7
"2007","Whittlesea",14.59
"2007","Wodonga",0
"2007","Wyndham",3.74
"2007","Yarra",8.56
"2007","Yarra Ranges",26.37
"2007","Yarriambiack",2.16
"2008","Alpine",25.41
"2008","Ararat",7.44
"2008","Ballarat",16
"2008","Banyule",9.16
"2008","Bass Coast",13.04
"2008","Baw Baw",15.44
"2008","Bayside",3.07
"2008","Benalla",12.43
"2008","Boroondara",9.89
"2008","Brimbank",15.3
